,home_won
408748,0
211869,1
15981,1
306185,1
217308,1
77486,1
195544,1
298180,1
201792,1
376281,1
288641,0
384754,0
222844,1
188614,0
233915,1
282280,1
213747,1
370730,1
255160,0
78953,1
365097,0
256344,0
185882,0
5159,1
71658,0
102472,1
68255,0
302623,1
413582,0
317494,0
278522,1
38174,1
294460,1
43286,1
116876,1
59599,1
70527,1
34659,1
165066,0
5311,1
323023,1
9149,0
3025,0
168131,1
241344,0
405809,0
407035,0
241971,0
118443,1
360479,0
5281,0
286221,1
39392,0
52953,1
51690,0
141782,1
15717,0
241819,1
399626,1
359927,1
134536,1
91245,1
278709,1
194581,1
45363,0
236881,1
354660,0
151038,1
279468,0
161470,1
385105,1
338770,0
144502,1
365269,0
142772,0
63261,1
95451,1
70389,1
378868,0
163842,1
153483,1
311035,0
193962,1
340558,0
315275,1
13326,0
330505,1
83460,0
24056,1
249737,1
388895,0
298067,0
38068,1
318938,0
372254,1
255757,1
349285,0
254770,1
381791,0
212183,0
311155,1
278309,0
395803,0
115830,0
90068,1
385417,1
269488,0
171721,1
131992,0
26372,0
63019,0
104001,1
374507,0
246012,1
61545,1
119027,0
36279,0
75166,0
130084,0
203233,0
94008,0
252489,0
289017,1
167128,1
194951,0
381717,0
345531,0
343228,1
197611,1
109466,1
306332,1
236366,0
162503,1
8075,1
393253,1
274703,1
65551,0
85047,1
320549,1
364276,0
371682,1
85355,1
41768,1
107571,0
80815,0
203514,1
183948,1
8515,1
396782,0
189011,0
26518,0
314957,0
344235,1
89168,0
75954,1
409476,1
316981,1
286879,1
168824,1
209975,0
261110,0
98816,0
181928,0
141563,1
21949,1
256180,1
24655,0
169560,0
235009,1
92861,1
251035,0
296645,0
372473,1
5093,1
52175,1
65313,0
247996,1
140718,0
307782,0
302338,0
226655,1
134906,0
401126,1
91633,0
19924,0
262968,0
48201,1
325739,0
327760,0
109850,1
52661,0
269187,0
246615,1
12550,0
156077,0
421564,1
212721,0
124794,0
340270,0
384147,1
57602,1
398594,0
82622,0
392419,0
286729,0
269989,0
65356,0
368743,0
107837,0
10641,1
169297,0
296354,0
152724,1
384039,0
18996,1
410884,0
102903,0
110208,0
177742,0
178694,0
43967,0
283627,0
286881,1
243743,1
150429,1
56968,0
11416,1
31316,0
379058,0
357806,0
177092,1
382260,1
91940,1
240719,1
231076,1
391382,0
364962,1
290697,1
27109,1
253709,1
300408,1
207593,1
356702,1
388998,1
44774,1
190027,1
281042,1
399899,1
90087,1
32519,1
420324,0
212948,1
331300,0
420986,0
90308,0
251284,0
298020,1
226912,0
290690,1
132403,0
272661,0
71877,1
267610,0
240698,1
11180,0
116182,1
13088,1
161357,0
269136,1
365270,0
243513,0
349088,1
166961,1
389704,1
217486,1
47775,0
244716,1
176413,0
325728,0
101835,0
130344,1
406364,1
412791,1
265035,1
109088,1
324853,1
377902,1
384670,0
285683,0
71026,1
75155,0
396287,0
319480,0
156485,1
192458,1
40874,0
217593,1
246780,0
258746,0
446,1
10382,0
210255,1
227213,0
287263,1
230665,0
419280,0
54949,1
411603,1
53105,0
52124,1
5745,1
201466,1
295581,1
34953,1
183379,1
354387,1
407960,0
181927,0
343721,1
404910,0
297510,1
286162,0
229477,1
276632,1
126365,1
101522,0
409870,1
34907,1
128078,1
202069,0
61191,0
296303,0
349457,0
234380,1
206635,1
140740,0
107917,0
190476,0
278020,0
241931,1
282237,1
378967,0
294972,1
269201,0
335772,1
319464,0
358276,0
163142,1
16892,1
383939,0
316616,1
355774,1
166488,1
269340,1
322933,1
58498,1
25166,1
232865,0
189281,1
254496,1
84255,0
346590,1
154913,1
37800,1
4788,1
286366,1
39082,1
258836,0
192594,1
173141,0
138446,0
272724,0
402310,1
64709,1
396419,0
14406,0
115523,1
110037,1
264642,1
355173,1
89385,1
105868,0
258615,1
373668,1
177824,0
335392,0
117334,1
198353,1
311952,1
400977,1
170243,0
366691,1
246969,0
90345,0
355194,0
317986,1
231751,1
107441,0
388048,1
280904,1
